Question_1,Question_2,flag
"In our application, each child node can have and only have one parent node.","like our scheme, the child node can have and only have 2 parent node.",1
What to do with deleting nodes from input calssficaition.,Hwat to do with edletnig noeds from input calssficaition.,1
 Do you suggest not to use this?,do now suggest not... use this?,1
What does copying tree for?,What does coypign tree for?,1
Can I recover deleted nodes?,I can ’ t naswer,0
What actions can I do to a node in the context tree?,What a ctions can I do to a node in the co ntext t ree?,1
Where can I check my testing tree?,where can i find my memory tree?,1
Where to check the test case execution status?,"Sorry, we don ' t support thiCs option. But you can upl7oad your own JSOPN ingput cla+ssfici6acVti)on flile.",0
"The release date is not determined yet
",Mov+e mo_use over the Tnode. Righqt click on it and option to delete the node wi!ll be disnpglayed.,0
Application output as the output for the final stage?,Aplicato outut as the output for the final tage?,1
How many child nodes can I enter for my input classification?,How any child node can I ener for my input classification?,1
"No, Thanks for your help.
","No, Htanks for your hepl.",1
You mean if I refresh I will lose what I have built so far!?,these mean if it refresh i will lose that should have built so great!?,1
"Go to  Login → Get Started → Test Case Group
",where you need words to go in navigation : login - > end get started - > data center administration with graph. wrong move mouse over from the node. right click on to it again and option 8 to delete the node will be displayed.,0
"You can find the contact information in the webpage
","just, just don't have much function.",0
Can I use scratch input classification files?,can say i really use scratch input classification files?,1
Can I input the limitation number?,2. click wrist and hand hold to move tree branches around.,0
"Yes, you are right! So far, our context tree only supports 3 levels. When designing the context tree, be careful to the level restriction.
","Yes, you are right! So far, our context tre only upprts 3 leels. Wen desinng the cntex tre, be reful to the levl restriction.",1
"There is no nodes limitationn.
",Sure. But don ' t forget to sve yor canes.,0
I can’t find the delete button for input classification nodes?,No,0
"Yes, it will be delivered soon
",go reverse login the get started → data administration equals graph. no tree / file or dropdown task.,0
"Sure. You can upload your own tree by using JSON file.
",SurWe. You can upload your own tbree by &using JSON file.,1
"Like, is it string, integer, or what?","like, is is it a string, integer, or say what?",1
Can I build two separate context trees in the file? ,can i really build with two entirely separate context trees in the file?,1
Deleted from the Test Case Group?,"Hi, I ca nnot add a c hild n ode to the 4th le vel of the c ontext tree. How can I fix t his?",0
"Oh, sorry to inform you that our context tree only supports up to 3 levels of design. I am afraid you have to get rid of the 4th level or simplify your design to 3 levels. ","Oh, sorry to iform you tat our context tre onl supports up to 3 level of dsign. I am afraid you have to get rid of the 4th lvel or smplif your deign to 3 leves.",1
"Yes, I am.","so yes, i am.",1
What's the maximum depth of the context tree?,Do you hve a JSO file?,0
"Yes
","I tried to upload a Jason *file, wher(e can I see my tepsVting Etree?",0
"Thanks for your help.
",how can i fix on previous information as i am at an output counter?,0
Do you know where I can find my input testing cases?,Is ther3e any naming convention?,0
How can I do the version control of the input and context classification input?,could you also explain in more precise detail?,0
"Could you elaborate a bit more on ""separate context trees"" you mentioned ?","could one elaborate their bit longer than "" separate context trees "" you mentioned?",1
"Yes, you can.
","The more nodes, the more tst cass wll be generated. It wil tak a oooong time. So if posibe delete some redundant noes and just retain the key oes.",0
"In our application, each child node can have and only have one parent node.",Why things not worki ng wh en I try to add m ore nodes at on ce?,0
Where can I find the deleted test case?,here can I find the delet test case?,1
"Not exactly. The same directory stays open only if you only use this app.
",how consistently can grade i control the test cases number size of each test case by branch?,0
"Hello, how can I edit my nodes for input classification? Sure, you can edit or delete nodes. How many nodes can I add at most in one time?","Helol, how can I eidt my nodes for inptu calssiicfation? Suer, you can edit or delete ndoes. How mayn nodes can I add at mots in one tmie?",1
"We will consider the schedule function
",We will consider the scheudel function,1
"The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more number of test cases will be generated.
",you're really welcome!,0
Is there any limitation for creating nodes for input classification?,expected output evaluation is generated from the output value tree.,0
How to delete nodes from input classification?,whether to delete nodes during input classification?,1
"Absolutely! There are two ways: First move your mouse over the node, right click then select ‘create child node’ option. A popup window will open. There is a plus(+) symbol on the popup window. With this you can add as many nodes required, then click create to add nodes to the tree. The second way is move your mouse over the node, right click then select ‘create 5 nodes’ option to add five child nodes with default names. Then select the node to rename with appropriate values. Thank you! Can I upload my input classification?",for output 0?,0
"The output tree can be auto generated or the user can manually create the tree.
","Mouse hov ers on a node and right cli ck, t hen the option list wi ll appear.",0
"Yes, Thanks. Can I change the color of node?","yes, thanks. can she change the color for her?",1
"Yes. You can upload a JSON file.
",yes. you can upload back a master json configuration file.,1
I didn't. Do I need to rebuild it from scratch?,I didn ' t. Do I n eed to re build it fr om scra tch?,1
"Please  click the ‘CONTACT’ button in the left panel
",Ple(ase click the ‘ CONTACT ’ butt+on in the leOft panel,1
What are the maximal test cases can be executed when the app performance is tested?,Can I upolad my own SJON file as ipnut classification and content classiifcaiton?,0
"You can organize your context features into a tree structure level by level. A parent node presents a context feature, and a child node presents a subfeature of that context feature.
",Corre ct.,0
There is a ‘create 5 Nodes’ option to add five child nodes with default names. Then you can select the node to rename with appropriate values.,like at the house.,0
"The order of nodes at each level will be automatically sorted based on name (A-Z) after each action. The order doesn't affect test cases generation.
",The order of nodes at ech lvel wil be automatically sorted based on nam (A - Z) fter each actin. The order doesn ' t affet est cases gneraio.,1
No. This feature will need to be developed.,no. this organization will offer to continue developed.,1
Where can I find the deleted test case?,"Oh, sorry to i nform you that our conte xt tr ee on ly supports up to 3 leve ls of design. I am a fraid you have to get rid of the 4th level or si mplify yo ur de sign to 3 l evels.",0
"Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH. Drag and rearrange nodes feature is available . 
",i even can ’ t answer,0
"Yes, you are right! So far, our context tree only supports 3 levels. When designing the context tree, be careful to the level restriction.
","Yes, you are rigt! So far, our context tree nly uppors 3 evels. Wen designing the conte tree, be crefu to the leel rstrcton.",1
"You're welcome.
",you'cal re welcome.,1
 We are in the process of reconfiguring the UI this feature will be removed,The tree sohuld have only there levels. There is no liimt on the number of nodse and hcild nodes. Higher the nodse mroe no of tset cases wlil be generated. So if possible create trese with key values.,0
"Absolutely! There are two ways: First move your mouse over the node, right click then select ‘create child node’ option. A popup window will open. There is a plus(+) symbol on the popup window. With this you can add as many nodes required, then click create to add nodes to the tree. The second way is move your mouse over the node, right click then select ‘create 5 nodes’ option to add five child nodes with default names. Then select the node to rename with appropriate values. Thank you! Can I upload my input classification?","Absolutely! There are two ways: First move your mouse over the node, right clicLk then sel$ect ‘ create child nodhe ’ option. A popup window Nwill open. Ther@e is a plus (+) symbo)l on the popnup window. With this you can add as many nodes required, then click create to add nodes to the tree. The second way is move pyour mouse over the node, right click tahen select ‘ create 5 nodes ’ opstion to add five child nodes with default names. Then select the node to rename with appropriate values. Thank you! Can I upload my input classification?",1
"We plan to do that later
",We plZan to do that later,1
 Currently we do not have this facility. Users will need to contact the admin,How to fix submission button doens ' t owrk?,0
"It’s used to copy the whole content of current version for producing a new version by modification
",It ’ s used to ocpy the whoel content of current evrsino for prdoucnig a new rvesion by modification,1
"Yes
",can i download the tree tree i built for the phone?,0
"The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more number of test cases will be generated.
",The tere shoudl haev noly three levels. There is no limit on the number of nodes and child nodes. Highre the nodes moer number of tets casse will be generated.,1
"Ok, got it! I will modify it.",am i understand,0
"There is no limit. You can add child nodes as needed. 
",what is the impact it if somehow the component test tools are used together by multiple users for different app apps at the same loading time?,0
Could you please clarify what do you by the type?,could you please clarify what she do by your type?,1
I can't rename my node?,i can'u t rename that my node?,1
"Yes, you do need to do that.
","Yes, you do ne ed to do t hat.",1
"What’s the performance test do you mean?
",Waht ’ s the perfromance tets do you mean?,1
How many nodes can I enter for my input classification?,Can I set specific ex3ecutioEn tiSme for the test 7cases?,0
JSON file,"No, one user can ’ t loign with mlutipel rbwoser.",0
"Navigation : Login → Get Started → DATA ADMINISTRATION WITH GRAPH. Hover mouse on the target node, and right click. You'll see the corresponding options.
","translation : login must be started → run administration process graph. first mouse on the target keyboard, hold right click. you'll write the corresponding options.",1
What’s the recommended number of input features for a context tree? Is there any limit?,should multiple users have a device and work together?,0
